region_gu,feature_avg_age,feature_old_factory_count,feature_factory_count,feature_avg_area_log,feature_old_share,feature_dong_count,label_high_old_share
강남구,19.615384615384617,14,561,4.310796214627721,0.024955436720142603,14,0
강동구,27.0,41,204,4.706014364643614,0.20098039215686275,8,1
강북구,23.714285714285715,23,240,4.603264582022071,0.09583333333333334,5,0
강서구,22.19400352733686,444,2031,4.655123954132758,0.21861152141802068,25,1
관악구,21.285714285714285,4,152,4.453255541000801,0.02631578947368421,6,0
광진구,12.75,2,409,4.635103604193988,0.004889975550122249,9,0
구로구,12.88400900900901,410,3528,5.197045366336706,0.11621315192743764,12,0
금천구,10.25365231885479,784,12120,5.177710224537315,0.06468646864686468,10,0
노원구,19.036363636363635,37,360,4.4025813133091285,0.10277777777777777,8,0
도봉구,27.0,37,265,4.874046846823337,0.13962264150943396,9,0
동대문구,23.714285714285715,7,480,4.699282379044612,0.014583333333333334,12,0
동작구,21.428571428571427,4,73,4.571586254094353,0.0547945205479452,8,0
마포구,22.6875,13,253,4.204798961220841,0.05138339920948617,20,0
서대문구,27.0,21,96,4.354071807544136,0.21875,13,1
서초구,22.77777777777778,30,480,3.9828061956421252,0.0625,8,0
성동구,28.6328320802005,672,2516,4.948001914962559,0.2670906200317965,25,1
성북구,21.93103448275862,23,181,4.474563432900332,0.1270718232044199,12,0
송파구,26.6,12,1272,4.220331499424218,0.009433962264150943,14,0
양천구,23.576271186440678,56,334,4.815265455399827,0.16766467065868262,4,1
영등포구,26.888297872340427,358,2456,4.454853131625676,0.1457654723127036,24,0
용산구,24.58823529411765,31,174,4.511273336127032,0.1781609195402299,17,1
은평구,27.0,14,145,4.482119703133488,0.09655172413793103,10,0
종로구,25.08108108108108,96,519,4.472666935395567,0.18497109826589594,46,1
중구,26.73259052924791,1077,3178,4.298294923989872,0.3388923851478918,27,1
중랑구,27.0,98,1069,4.632469931725694,0.09167446211412535,12,0
